class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
balanced,entropy,10.0,2,5,300,0.7841051134664345,0.8204701950647483,0.7740575616795129,0.9312218927381382,0.9673539518900344
balanced,entropy,10.0,2,2,300,0.7839673485803096,0.8227402427524162,0.773517404005209,0.9300154404305789,0.9707903780068728
balanced,entropy,10.0,1,5,200,0.7839112336707323,0.8284519481616164,0.7693110547988596,0.9306078892081192,0.9845360824742269
,entropy,10.0,1,2,300,0.7834770106512173,0.8215378565790997,0.7731999436877486,0.9321066357705018,0.9965635738831615
balanced,entropy,10.0,1,5,300,0.7828397633603327,0.8295175957140168,0.7651289902509415,0.9308225331694636,0.9845360824742269
,entropy,20.0,2,10,300,0.7827624886290763,0.8168793000081249,0.7734321437370217,0.9325973080181637,0.9501718213058419
,entropy,,2,10,300,0.7827624886290763,0.8168793000081249,0.7734321437370217,0.9325973080181637,0.9501718213058419
balanced,entropy,20.0,2,10,100,0.7827524002645576,0.8201566867065642,0.7737699292577341,0.9279410799863873,0.9415807560137457
balanced,entropy,,2,10,100,0.7827524002645576,0.8201566867065642,0.7737699292577341,0.9279410799863873,0.9415807560137457
balanced,entropy,,1,2,200,0.7820637373833048,0.8235070692204992,0.7704221659099708,0.9237882315900696,1.0
balanced,entropy,20.0,1,2,200,0.7820637373833048,0.8235070692204992,0.7704221659099708,0.9237643195862437,1.0
,entropy,,1,2,200,0.7817055436051151,0.828309968619482,0.7673259599479112,0.9284839645386365,1.0
,entropy,10.0,1,10,200,0.7816883098049624,0.817374214982445,0.7723666103544153,0.9302561776404348,0.9553264604810997
,gini,10.0,1,5,200,0.7814722729894832,0.8291613390236108,0.7664470488860733,0.9274234995257418,0.9810996563573883
balanced,entropy,,1,2,300,0.7814380747196674,0.8234240415716823,0.7682048710097491,0.9255215762389554,1.0
balanced,entropy,20.0,1,2,300,0.7814380747196674,0.8234240415716823,0.7682048710097491,0.9254976642351295,1.0
,entropy,10.0,2,2,200,0.7812753752203181,0.8195234703633671,0.7717858022736072,0.9294228918741017,0.9759450171821306
,entropy,10.0,2,2,300,0.7810852106142633,0.8164835363901171,0.7737505719213036,0.9309722171873233,0.9707903780068728
balanced,entropy,10.0,2,5,200,0.7809820924851693,0.8185668290789758,0.7701493154541936,0.9316566753487271,0.9604810996563574
